,age,sex,wtyrago,finalwt,wtkg2,htm3
662,46.0,2,102.27272727272727,434.924936,90.91,163.0
663,65.0,1,147.27272727272725,248.579425,147.27,178.0
664,37.0,1,45.45454545454545,491.349342,68.18,173.0
665,38.0,1,90.9090909090909,1079.16831,95.45,173.0
666,49.0,2,84.09090909090908,214.290894,77.27,165.0
667,45.0,1,76.81818181818181,974.100329,76.82,170.0
668,66.0,2,68.18181818181817,299.672981,75.0,168.0
669,55.0,1,77.27272727272727,817.876653,86.36,175.0
670,49.0,1,102.27272727272727,648.969007,97.73,188.0
671,36.0,1,90.9090909090909,491.349342,97.73,185.0
672,43.0,2,103.18181818181817,500.402312,97.27,173.0
673,67.0,2,109.09090909090908,299.672981,109.09,173.0
674,35.0,2,72.72727272727272,500.402312,75.0,160.0
675,85.0,2,43.63636363636363,219.980207,46.36,165.0
676,65.0,1,106.81818181818181,994.317701,104.55,178.0
677,52.0,2,116.36363636363636,321.649922,104.55,157.0
678,50.0,2,63.63636363636363,217.462468,75.0,168.0
679,37.0,1,97.72727272727272,809.914025,90.0,185.0
680,27.0,2,59.090909090909086,1483.24348,77.27,163.0
681,72.0,1,85.9090909090909,745.738276,85.91,178.0
682,45.0,1,81.81818181818181,974.100329,81.82,183.0
683,62.0,2,88.18181818181817,181.555604,88.18,178.0
684,61.0,2,90.9090909090909,320.274419,90.91,168.0
685,35.0,1,106.81818181818181,1079.16831,87.27,178.0
686,46.0,2,47.72727272727273,428.581789,47.73,168.0
687,54.0,2,54.54545454545454,642.872683,61.36,152.0
688,79.0,1,111.36363636363636,518.548906,111.36,188.0
689,50.0,1,104.54545454545453,973.453511,104.55,183.0
690,36.0,2,81.81818181818181,995.596227,72.73,155.0
691,34.0,2,57.272727272727266,1175.00599,61.82,165.0
692,50.0,2,81.81818181818181,643.299844,77.27,168.0
693,25.0,2,140.45454545454544,587.502996,140.91,173.0
694,40.0,2,,500.402312,,170.0
695,58.0,2,68.18181818181817,181.555604,68.18,165.0
696,33.0,2,54.54545454545454,782.81718,54.55,163.0
697,27.0,2,81.81818181818181,556.585888,81.82,160.0
698,72.0,2,69.09090909090908,149.83649,69.09,163.0
699,59.0,2,69.09090909090908,545.028719,69.09,175.0
700,31.0,2,81.81818181818181,370.810871,81.82,165.0
701,62.0,1,94.54545454545453,272.444523,94.55,183.0
702,49.0,2,61.36363636363636,428.581789,85.0,163.0
703,68.0,1,95.45454545454545,452.976074,95.45,193.0
704,72.0,2,81.81818181818181,333.716218,86.36,168.0
705,26.0,1,127.27272727272727,1482.49913,127.27,193.0
706,74.0,1,,746.233787,61.82,157.0
